AFFILIATION,TOTAL
University of São Paulo - USP,9
State University of Santa Cruz - UESC,9
Federal University of Rio Grande do Sul - UFRGS,8
Federal University of Santa Catarina - UFSC,7
Federal University of Rio de Janeiro - UFRJ,6
Botanical Garden Research Institute of Rio de Janeiro - JBRJ,6
Institute of Botany - SP,5
State University of - UNICAMP,5
São Paulo State University - UNESP,4
Brazilian Agricultural Research Corporation - Embrapa,4
Federal University of Amazonas - UFAM,3
State University of Rio de Janeiro - UERJ,3
Pontifical Catholic University of Rio Grande do Sul  - PUCRS,3
State University of Santa Catarina - UDESC,3
Forestry Institute of São Paulo - IF,3
Royal Botanic Gardens - Kew,2
Jodrell Laboratory,2
University of Porto,2
Federal University of Mato Grosso do Sul - UFMS,2
Federal University of São Carlos - UFSCAR,2
Federal University of Parana - UFPR,2
Federal University of Lavras - UFLA,2
University of Fribourg,2
State University of Northern Rio de Janeiro - UENF,2
State University of Londrina - UEL,2
Federal University of Espirito Santo - UFES,2
Queen's University Belfast,2
Federal University of Minas Gerais - UFMG,2
University of the Sunshine Coast,2
Royal Zoological Society of Antwerp,2
i3S - Instituto de Investigação e Inovação em Saúde -  Universidade do Porto,2
Instituto de Pesquisas,1
National School of Tropical Botany - ENBT,2
INCT,1
Save the Golden Lion Tamarin,1
Bicho do Mato Instituto de Pesquisa,1
Instituto Pró-Carnívoros,1
Universitary Center of Goiatuba - UniCerrado,1
Universitat de Barcelona,1
National Institute of Agricultural Botany,1
Univerzita Palackého v Olomouci,1
Goethe-Universität Frankfurt am Main,1
Cornell University,1
Technische Universität Braunschweig,1
The University of British Columbia,1
American Museum of Natural History,1
Julius-Maximilians-Universität Würzburg,1
University of Porto -  Interdisciplinary Centre of Marine and Environmental Research,1
State University of Feira de Santana - UEFS,1
Federal University of Viçosa - UFV,1
Martin-Universität Halle-Wittenberg,1
University of Toronto,1
Università degli Studi di Napoli Federico II,1
Centro Regional Universitario Bariloche,1
State University of Ponta Grossa - UEPG,1
Universität Kassel,1
University of Maryland - College Park,1
Flinders University,1
Consiglio Nazionale delle Ricerche,1
Instituto de Ecología - A.C.,1
University of Cincinnati,1
Federal University of Itajubá - UNIFEI,1
Rural Federal University of Rio de Janeiro - UFRRJ,1
Federal University of the State of Rio de Janeiro - UNIRIO,1
National Institute for Research in the Amazon - INPA,1
State University of Maringa - UEM,1
Federal University of Pernambuco - UFPE,1
Federal Rural University of the Semi-arid Region - UFERSA,1
State Foundation for Agricultural Research - Fepagro,1
Federal Institute of Education Science and Technology of Mato Grosso - IFMT,1
Senckenberg Forschungsinstitut und Naturmuseum,1
Agência Paulista de Tecnologia dos Agronegócios - APTA,1
The Mamirauá Sustainable Development Institute - IDSM,1
Senckenberg Gesellschaft für Naturforschung,1
Universidad Nacional de Río Negro,1
